Symbol,Company,Sector,Headquarter,Year First Added,Foundation
MMM,3M,Industrials,Minnesota,1976,1902
AOS,A. O. Smith,Industrials,Wisconsin,2017,1916
ABT,Abbott,Health Care,Illinois,1964,1888
ABBV,AbbVie,Health Care,Illinois,2012,1888
ABMD,Abiomed,Health Care,Massachusetts,2018,1981
ACN,Accenture,Information Technology,Ireland,2011,1989
ATVI,Activision Blizzard,Communication Services,California,2015,2008
ADM,ADM,Consumer Staples,Illinois,1981,1902
ADBE,Adobe Inc.,Information Technology,California,1997,1982
ADP,ADP,Information Technology,New Jersey,1981,1949
AAP,Advance Auto Parts,Consumer Discretionary,North Carolina,2015,1932
AES,AES Corporation,Utilities,Virginia,1998,1981
AFL,Aflac,Financials,Georgia,1999,1955
A,Agilent Technologies,Health Care,California,2000,1999
APD,Air Products and Chemicals,Materials,Pennsylvania,1985,1940
AKAM,Akamai,Information Technology,Massachusetts,2007,1998
ALK,Alaska Air Group,Industrials,Washington,2016,1985
ALB,Albemarle Corporation,Materials,North Carolina,2016,1994
ARE,Alexandria Real Estate Equities,Real Estate,California,2017,1994
ALGN,Align Technology,Health Care,Arizona,2017,1997
ALLE,Allegion,Industrials,New York,2013,1908
LNT,Alliant Energy,Utilities,Wisconsin,2016,1917
ALL,Allstate,Financials,Illinois,1995,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,California,2014,1998
GOOG,Alphabet Inc. (Class C),Communication Services,California,2006,1998
MO,Altria,Consumer Staples,Virginia,1957,1985
AMZN,Amazon,Consumer Discretionary,Washington,2005,1994
AMCR,Amcor,Materials,United Kingdom,2019,1860
AMD,AMD,Information Technology,California,0,1969
AEE,Ameren,Utilities,Missouri,1991,1902
AAL,American Airlines Group,Industrials,Texas,2015,1934
AEP,American Electric Power,Utilities,Ohio,1957,1906
AXP,American Express,Financials,New York,1976,1850
AIG,American International Group,Financials,New York,1980,1919
AMT,American Tower,Real Estate,Massachusetts,2007,1995
AWK,American Water Works,Utilities,New Jersey,2016,1886
AMP,Ameriprise Financial,Financials,Minnesota,2005,1894
ABC,AmerisourceBergen,Health Care,Pennsylvania,2001,1985
AME,Ametek,Industrials,Pennsylvania,2013,1930
AMGN,Amgen,Health Care,California,1992,1980
APH,Amphenol,Information Technology,Connecticut,2008,1932
ADI,Analog Devices,Information Technology,Massachusetts,1999,1965
ANSS,Ansys,Information Technology,Pennsylvania,2017,1969
AON,Aon,Financials,UK,1996,1919
APA,APA Corporation,Energy,Texas,1997,1954
AAPL,Apple Inc.,Information Technology,California,1982,1977
AMAT,Applied Materials,Information Technology,California,1995,1967
APTV,Aptiv,Consumer Discretionary,Ireland,2012,1994
ACGL,Arch Capital Group,Financials,Bermuda,2022,1995
ANET,Arista Networks,Information Technology,California,2018,2004
AJG,Arthur J. Gallagher & Co.,Financials,Illinois,2016,1927
AIZ,Assurant,Financials,New York,2007,1892
